1 1:0.408122 2:0.407777 3:0.38636 4:0.372549 5:0.0588235 6:0.407843 7:0.192373 8:0.224456 9:0.455346 10:0.115403 11:0.0124225 12:0.956466 13:0.0429365 14:0.000586682 15:0.499997 16:0.159888 17:0.00399813 18:0.00352661 19:0.00153624 20:0.00300077 21:0.00846344 22:0.0044653 23:0.00491075 24:0.0127006 25:0.0103278 26:0.00873505 27:0.00460872 28:0.00418065 29:0.00295514 30:0.00246407 31:0.00416762 32:0.00260313 33:0.0186326 34:0.00473692 35:0.00879372 36:0.00220332 37:0.0102474 38:0.00600589 39:0.00355703 40:0.00127766 41:0.0252838 42:0.00438925 43:0.00456091 44:0.00169486 45:0.00360701 46:0.00319851 47:0.00567561 48:0.00940865 49:0.0130591 50:0.00544311 51:0.00898493 52:0.00224026 53:0.00364829 54:0.00252491 55:0.00627533 56:0.00694893 57:0.00432624 58:0.00638615 59:0.0197821 60:0.00385255 61:0.00657953 62:0.00299643 63:0.0386993 64:0.00926089 
-1 1:0.332186 2:0.304801 3:0.269738 4:0.403922 5:0.192157 6:0.329412 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.503158 16:0.256842 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0357895 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.00421053 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0126316 49:0 50:0 51:0.08 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.107368 64:0 
-1 1:0.339379 2:0.311928 3:0.276634 4:0.403922 5:0.184314 6:0.337255 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.505208 16:0.333333 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0416667 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0.03125 49:0 50:0 51:0.0703125 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0182292 64:0 
-1 1:0.333752 2:0.306301 3:0.271007 4:0.403922 5:0.188235 6:0.333333 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.501272 16:0.185751 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0254453 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0788804 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0966921 49:0 50:0 51:0.109415 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.00254453 64:0 
-1 1:0.332814 2:0.305363 3:0.270069 4:0.403922 5:0.192157 6:0.329412 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.496454 16:0.262411 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0307329 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0591017 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0756501 49:0 50:0 51:0.0756501 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
-1 1:0.322747 2:0.295296 3:0.260001 4:0.403922 5:0.196078 6:0.321569 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.501901 16:0.152091 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.026616 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0.0152091 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0114068 42:0 43:0 44:0 45:0 46:0 47:0 48:0.13308 49:0 50:0 51:0.114068 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0456274 64:0 
-1 1:0.305008 2:0.276626 3:0.243504 4:0.407843 5:0.196078 6:0.301961 7:0 8:0 9:0.928058 10:0.0719424 11:0 12:1 13:0 14:0 15:0.492806 16:0.205036 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0143885 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0359712 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0935252 49:0 50:0 51:0.118705 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0395683 64:0 
-1 1:0.293749 2:0.265218 3:0.233486 4:0.407843 5:0.203922 6:0.290196 7:0 8:0 9:0.870588 10:0.129412 11:0 12:1 13:0 14:0 15:0.505882 16:0.242353 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.00235294 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0705882 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0917647 49:0 50:0 51:0.0611765 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0258824 64:0 
-1 1:0.292145 2:0.26486 3:0.23077 4:0.403922 5:0.215686 6:0.290196 7:0 8:0 9:0.981818 10:0.0181818 11:0 12:1 13:0 14:0 15:0.494949 16:0.210101 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0646465 42:0 43:0 44:0 45:0 46:0 47:0 48:0.121212 49:0 50:0 51:0.0646465 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0444444 64:0 
-1 1:0.289184 2:0.263457 3:0.233833 4:0.403922 5:0.192157 6:0.286275 7:0 8:0 9:0.958599 10:0.0414013 11:0 12:1 13:0 14:0 15:0.503185 16:0.328025 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.044586 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0796178 49:0 50:0 51:0.022293 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.022293 64:0 
-1 1:0.276426 2:0.252853 3:0.229722 4:0.411765 5:0.172549 6:0.27451 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.511299 16:0.220339 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0.00564972 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0169492 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0310734 49:0 50:0 51:0.00282486 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.211864 64:0 
