1 1:0.441794 2:0.430047 3:0.410942 4:0.396078 5:0.0705882 6:0.439216 7:0.0884479 8:0.0615477 9:0.589037 10:0.195518 11:0.0654493 12:0.94676 13:0.0524712 14:0.000701984 15:0.499997 16:0.00342859 17:0.259734 18:0.0106796 19:0.000498666 20:0.00599683 21:0.00214876 22:0.00161585 23:0.000691283 24:0.00796153 25:0.00215946 26:0.00227289 27:0.00509367 28:0.00423117 29:0.000721246 30:0.00332372 31:0.0242634 32:0.00122633 33:0.0142815 34:0.0028058 35:0.000410918 36:0.00161157 37:0.00145961 38:0.0085244 39:0.000622797 40:0.0109471 41:0.000261104 42:0.0139519 43:0.00493529 44:0.00460142 45:0.00113858 46:0.000749068 47:0.00123489 48:0.00131194 49:0.00173998 50:0.0037432 51:0.00467419 52:0.000911723 53:0.00379671 54:0.00151954 55:0.00539757 56:0.000813274 57:0.000639918 58:0.00065918 59:0.000475123 60:0.00147245 61:0.00116855 62:0.056544 63:0.00620229 64:0.00418622 
1 1:0.352664 2:0.352844 3:0.338197 4:0.352941 5:0.0352941 6:0.34902 7:0 8:0.024735 9:0.908127 10:0.0671378 11:0 12:1 13:0 14:0 15:0.487633 16:0.0318021 17:0.0989399 18:0 19:0 20:0 21:0 22:0 23:0 24:0.0106007 25:0 26:0.00353357 27:0 28:0.0176678 29:0 30:0.0388693 31:0.0141343 32:0.0141343 33:0.0106007 34:0.00353357 35:0 36:0.00706714 37:0.00353357 38:0 39:0.00353357 40:0.0106007 41:0 42:0 43:0.024735 44:0 45:0 46:0 47:0 48:0 49:0.00353357 50:0 51:0 52:0.00353357 53:0.0106007 54:0 55:0.0388693 56:0 57:0 58:0 59:0 60:0.0282686 61:0.00706714 62:0.0918728 63:0.00353357 64:0.0318021 
1 1:0.364692 2:0.366961 3:0.350756 4:0.32549 5:0.0431373 6:0.364706 7:0 8:0.0892857 9:0.910714 10:0 11:0 12:1 13:0 14:0 15:0.521429 16:0.0321429 17:0.107143 18:0 19:0 20:0 21:0 22:0 23:0 24:0.0107143 25:0.00357143 26:0 27:0.0107143 28:0.0285714 29:0 30:0.0642857 31:0.0214286 32:0.025 33:0.00357143 34:0 35:0 36:0.0107143 37:0 38:0 39:0 40:0 41:0 42:0 43:0.0357143 44:0 45:0 46:0 47:0 48:0 49:0.00714286 50:0.00357143 51:0 52:0.00357143 53:0 54:0 55:0.0357143 56:0.0107143 57:0 58:0 59:0 60:0.0142857 61:0 62:0.00714286 63:0 64:0.0428571 
1 1:0.372756 2:0.374446 3:0.358584 4:0.352941 5:0.0431373 6:0.372549 7:0 8:0.0325203 9:0.96748 10:0 11:0 12:1 13:0 14:0 15:0.47561 16:0.0243902 17:0.0406504 18:0 19:0 20:0 21:0 22:0 23:0 24:0.00406504 25:0 26:0 27:0.0121951 28:0.0243902 29:0 30:0.0853659 31:0.0162602 32:0.0162602 33:0.0243902 34:0 35:0 36:0.0162602 37:0 38:0.0243902 39:0 40:0.00813008 41:0 42:0 43:0.0487805 44:0.00406504 45:0 46:0 47:0 48:0 49:0.00813008 50:0.0121951 51:0 52:0 53:0 54:0 55:0.0487805 56:0.00813008 57:0 58:0 59:0 60:0 61:0 62:0.0121951 63:0.0203252 64:0.0650406 
1 1:0.355215 2:0.353765 3:0.338125 4:0.352941 5:0.0431373 6:0.352941 7:0 8:0.0389105 9:0.941634 10:0.0194553 11:0 12:1 13:0 14:0 15:0.501945 16:0.00389105 17:0.120623 18:0 19:0 20:0 21:0 22:0 23:0 24:0.00389105 25:0 26:0 27:0 28:0.0116732 29:0 30:0.0428016 31:0.0272374 32:0.0233463 33:0.0077821 34:0 35:0 36:0.0272374 37:0 38:0 39:0 40:0.0077821 41:0 42:0 43:0.0311284 44:0 45:0.00389105 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0.0389105 56:0 57:0 58:0 59:0.00389105 60:0.0194553 61:0 62:0.0544747 63:0.0233463 64:0.0389105 
1 1:0.370887 2:0.370516 3:0.354716 4:0.352941 5:0.0431373 6:0.368627 7:0 8:0.0288066 9:0.971193 10:0 11:0 12:1 13:0 14:0 15:0.518519 16:0.0288066 17:0.0658436 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0.0205761 28:0.0493827 29:0 30:0.00411523 31:0 32:0.00411523 33:0.0164609 34:0 35:0 36:0 37:0 38:0.0411523 39:0 40:0.037037 41:0.00823045 42:0 43:0.0493827 44:0.00823045 45:0.00411523 46:0 47:0 48:0 49:0.00411523 50:0 51:0 52:0 53:0.00411523 54:0 55:0.0493827 56:0.00823045 57:0 58:0 59:0.00411523 60:0.0164609 61:0 62:0.0246914 63:0.00411523 64:0.0246914 
1 1:0.358775 2:0.360654 3:0.344837 4:0.352941 5:0.0431373 6:0.356863 7:0 8:0.0333333 9:0.966667 10:0 11:0 12:1 13:0 14:0 15:0.495833 16:0 17:0.00416667 18:0.0291667 19:0 20:0.0166667 21:0 22:0 23:0 24:0.108333 25:0.00416667 26:0 27:0 28:0.0166667 29:0.00416667 30:0.0125 31:0.00416667 32:0.00833333 33:0.00416667 34:0 35:0.00833333 36:0.0291667 37:0 38:0 39:0 40:0.0416667 41:0.00833333 42:0.0208333 43:0.00416667 44:0 45:0 46:0 47:0 48:0 49:0.00416667 50:0 51:0.0416667 52:0 53:0.0125 54:0 55:0.0166667 56:0.0208333 57:0 58:0.00416667 59:0.0208333 60:0.00416667 61:0.00833333 62:0.0208333 63:0 64:0.00416667 
1 1:0.358602 2:0.36669 3:0.349203 4:0.294118 5:0.0431373 6:0.364706 7:0 8:0.439689 9:0.552529 10:0.0077821 11:0 12:1 13:0 14:0 15:0.501945 16:0 17:0.124514 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.00389105 26:0 27:0 28:0 29:0 30:0.0622568 31:0.0661479 32:0.00389105 33:0.0661479 34:0 35:0 36:0 37:0 38:0.0311284 39:0 40:0.0233463 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0700389 63:0.0466926 64:0 
1 1:0.36682 2:0.378824 3:0.360921 4:0.266667 5:0.0431373 6:0.376471 7:0 8:0.643478 9:0.356522 10:0 11:0 12:1 13:0 14:0 15:0.5 16:0 17:0.026087 18:0 19:0 20:0.0434783 21:0 22:0 23:0 24:0.117391 25:0 26:0 27:0 28:0 29:0 30:0 31:0.00869565 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0.1 41:0 42:0.0478261 43:0.0347826 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.0130435 52:0 53:0 54:0 55:0.0521739 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0565217 63:0 64:0 
1 1:0.357427 2:0.372767 3:0.34998 4:0.27451 5:0.0627451 6:0.372549 7:0 8:0.825758 9:0.174242 10:0 11:0 12:1 13:0 14:0 15:0.482323 16:0 17:0.401515 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0.00505051 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.111111 63:0 64:0 
1 1:0.342278 2:0.349248 3:0.335776 4:0.294118 5:0.0431373 6:0.34902 7:0 8:0.351899 9:0.627848 10:0.0202532 11:0 12:1 13:0 14:0 15:0.493671 16:0.0278481 17:0.078481 18:0.00253165 19:0 20:0 21:0 22:0 23:0.00253165 24:0.0227848 25:0 26:0 27:0 28:0.0177215 29:0.00253165 30:0 31:0.0556962 32:0.00506329 33:0.043038 34:0 35:0 36:0.0278481 37:0.0151899 38:0 39:0 40:0.0556962 41:0 42:0 43:0 44:0 45:0 46:0.00253165 47:0 48:0 49:0.0126582 50:0 51:0 52:0 53:0.0278481 54:0 55:0.0101266 56:0 57:0 58:0 59:0 60:0 61:0.0151899 62:0.043038 63:0.0379747 64:0 
